date,Open,High,Low,Close,Volume
2024-09-18,2.18,2.225,2.15,2.18,12062706.0
2024-09-17,2.19,2.2599,2.17,2.22,10251330.0
2024-09-16,2.18,2.18,2.135,2.14,12385567.0
2024-09-13,2.22,2.29,2.21,2.28,10951377.0
2024-09-12,2.21,2.23,2.18,2.23,9064044.0
2024-09-11,2.2,2.23,2.1403,2.2,10125801.0
2024-09-10,2.21,2.26,2.19,2.24,7999250.0
2024-09-09,2.18,2.22,2.14,2.22,9701058.0
2024-09-06,2.25,2.26,2.08,2.09,14153990.0
2024-09-05,2.25,2.2799,2.21,2.22,11084910.0
2024-09-04,2.25,2.35,2.25,2.32,12665404.0
2024-09-03,2.36,2.365,2.29,2.3,9836457.0
2024-08-30,2.37,2.4,2.29,2.36,11278155.0
2024-08-29,2.43,2.45,2.365,2.38,7335684.0
2024-08-28,2.38,2.4,2.314,2.36,13592248.0
2024-08-27,2.48,2.48,2.41,2.44,8659482.0
2024-08-26,2.59,2.59,2.52,2.53,8331835.0
2024-08-23,2.51,2.6,2.48,2.59,13716833.0
2024-08-22,2.48,2.48,2.44,2.45,7633255.0
2024-08-21,2.44,2.5,2.39,2.5,10344663.0
2024-08-20,2.48,2.5,2.41,2.46,8292925.0
2024-08-19,2.45,2.48,2.4127,2.46,7292655.0
2024-08-16,2.45,2.48,2.405,2.48,10433529.0
2024-08-15,2.51,2.52,2.38,2.41,15087505.0
2024-08-14,2.57,2.5799,2.48,2.51,13943906.0
2024-08-13,2.49,2.5766,2.48,2.55,11617727.0
2024-08-12,2.53,2.5699,2.4435,2.51,16511002.0
2024-08-09,2.49,2.51,2.404,2.445,15556239.0
2024-08-08,2.33,2.4599,2.2747,2.43,19167592.0
2024-08-07,2.33,2.35,2.195,2.21,23363957.0
2024-08-06,2.32,2.4099,2.28,2.35,19635016.0
2024-08-05,2.09,2.38,2.06,2.27,41084063.0
2024-08-02,2.96,3.0,2.81,2.83,22080150.0
2024-08-01,3.0,3.01,2.9,2.94,17839568.0
2024-07-31,3.14,3.16,3.0525,3.08,23857815.0
2024-07-30,3.16,3.1659,3.07,3.08,15546251.0
2024-07-29,3.19,3.19,3.07,3.12,33673442.0
2024-07-26,3.04,3.1,3.03,3.08,36664526.0
2024-07-25,2.98,3.0,2.92,2.94,32041550.0
2024-07-24,3.27,3.27,3.16,3.17,31096152.0
2024-07-23,3.3,3.31,3.19,3.27,20130151.0
