Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving Average_Signal,Moving Average_Returns,Moving Average_Equity,SMA_Short,SMA_Long,Equity_Curve,RSI_Signal,RSI_Returns,RSI_Equity,RSI,Breakout Range_Signal,Breakout Range_Returns,Breakout Range_Equity,High_Range,Low_Range,Breakout_Haut,Breakout_Bas,Breakout_Equity,Bollinger Bands_Signal,Bollinger Bands_Returns,Bollinger Bands_Equity,bb_middle,bb_upper,bb_lower,ATR,Entry_Price,Stop_Loss_ATR_L,Take_Profit_ATR_L,Stop_Loss_ATR_S,Take_Profit_ATR_S,PSAR,Stop_Loss
2023-11-30 00:00:00+01:00,14.21132107917932,14.221190278295282,13.9152526351295,13.96459674835205,689572,0.0,0.0,1,-0.010489542387242978,1.0405502464878937,14.058352088928222,13.45437084833781,1.0405502464878937,0,0.010489542387242978,1.0498194222546777,69.67743705256314,0,-0.0,0.9149716409275387,14.398831523808646,12.681630999771638,False,False,0.9149716409275387,0,-0.0,1.0221686268010037,13.668034076690674,14.64981556626107,12.686252587120277,0.24923081799139118,14.112631797790527,13.73878557080344,14.860324251764702,14.486478024777615,13.364939343816353,14.398831523808646,14.398831523808646
2023-12-01 00:00:00+01:00,14.013941279837471,14.171844695086342,14.013941279837471,14.152107238769531,290615,0.0,0.0,1,0.013427562127034554,1.054522299568911,14.099801731109618,13.49516258239746,1.054522299568911,-1,0.0,1.0498194222546777,70.06369818790385,0,0.0,0.9149716409275387,14.398831523808646,12.681630999771638,False,False,0.9149716409275387,0,0.0,1.0221686268010037,13.7371169090271,14.648456190104346,12.825777627949853,0.24623204147302694,13.96459674835205,13.59524868614251,14.703292872771131,14.333944810561592,13.22590062393297,14.389159946035063,14.389159946035063
2023-12-04 00:00:00+01:00,14.161976060238612,14.319879471280895,14.073155156232689,14.142237663269045,471639,0.0,0.0,1,-0.0006973926450648538,1.0537868834731348,14.123487186431884,13.535954316457113,1.0537868834731348,0,0.0006973926450648538,1.0505515585984044,63.35877524735616,0,-0.0,0.9149716409275387,14.398831523808646,12.711237370772364,False,False,0.9149716409275387,0,-0.0,1.0221686268010037,13.805212783813477,14.618676769975561,12.991748797651393,0.24626720387125406,14.152107238769531,13.78270643296265,14.890908850383294,14.521508044576413,13.413305627155768,14.379681799816952,14.379681799816952
2023-12-05 00:00:00+01:00,14.14223787570418,14.221189582411284,14.033679514276564,14.1225004196167,285806,0.0,0.0,1,-0.001395623813027047,1.052316193404704,14.138290691375733,13.571153672536214,1.052316193404704,0,-0.0,1.0505515585984044,64.34109398175204,0,-0.0,0.9149716409275387,14.398831523808646,12.829665183173235,False,False,0.9149716409275387,0,-0.0,1.0221686268010037,13.86640043258667,14.57530546832744,13.1574953968459,0.2420702656043588,14.142237663269045,13.779132264862506,14.86844846008212,14.505343061675584,13.416026866455969,14.370393216523203,14.370393216523203
2023-12-06 00:00:00+01:00,14.152107525998442,14.17184498271584,13.84616894686053,14.033679962158203,366825,0.0,0.0,1,-0.0062892869406554475,1.0456978749120835,14.123487281799317,13.600102678934734,1.0456978749120835,0,-0.0,1.0505515585984044,61.02940288294769,0,-0.0,0.9149716409275387,14.398831523808646,12.928354523063108,False,False,0.9149716409275387,0,-0.0,1.0221686268010037,13.915251874923706,14.521435174674295,13.309068575173118,0.24804210633656956,14.1225004196167,13.750437260111845,14.866626738626408,14.494563579121554,13.37837410060699,14.361290404895328,14.361290404895328
2023-12-07 00:00:00+01:00,13.96459653295323,14.023810785557012,13.658658894506424,13.75734806060791,288487,0.0,0.0,1,-0.01969062300803648,1.0251074322768847,14.066247177124023,13.623788197835287,1.0251074322768847,0,-0.0,1.0505515585984044,50.609733821843186,0,-0.0,0.9149716409275387,14.398831523808646,13.056650317276834,False,False,0.9149716409275387,0,-0.0,1.0221686268010037,13.948806381225586,14.428905439348402,13.46870732310277,0.2571120321447989,14.033679962158203,13.648011913941005,14.8050160585926,14.419348010375401,13.262343865723807,14.340685546573937,14.340685546573937
2023-12-08 00:00:00+01:00,13.806693092247118,14.083025015719622,13.727741383020293,14.033679962158203,339128,0.0,0.0,1,0.0200861314501104,1.0456978749120833,14.049469947814941,13.65931650797526,1.0456978749120833,0,0.0,1.0505515585984044,53.71428634536131,0,0.0,0.9149716409275387,14.398831523808646,13.372458710533024,False,False,0.9149716409275387,0,0.0,1.0221686268010037,13.982360935211181,14.380735114859874,13.583986755562488,0.26412428932726534,13.75734806060791,13.361161626617012,14.549720928589707,14.153534494598809,12.964975192626113,14.299763947449886,14.299763947449886
2023-12-11 00:00:00+01:00,14.033679649633088,14.04354790718272,13.6389201711115,13.698134422302246,264903,0.0,0.0,1,-0.023910017954004603,1.020695219948471,14.011967849731445,13.683659966786703,1.020695219948471,0,-0.0,1.0505515585984044,43.06932635021287,0,-0.0,0.9149716409275387,14.398831523808646,13.520492527138469,False,False,0.9149716409275387,0,-0.0,1.0221686268010037,13.990749549865722,14.356422723055267,13.625076376676176,0.27416024980897635,14.033679962158203,13.622439587444738,14.856160711585133,14.444920336871668,13.211199212731273,14.261297644273279,14.261297644273279
2023-12-12 00:00:00+01:00,13.75734811190412,14.023810837846767,13.75734811190412,13.93498992919922,421331,0.0,0.0,1,0.017291077718681436,1.0383441403236866,13.995190620422363,13.712279987335204,1.0383441403236866,0,0.0,1.0505515585984044,43.90245397066779,0,0.0,0.9149716409275387,14.398831523808646,13.6389201711115,False,False,0.9149716409275387,0,0.0,1.0221686268010037,13.997657871246338,14.353503813463591,13.641811929029084,0.27783997593294385,13.698134422302246,13.28137445840283,14.531654350101078,14.114894386201662,12.864614494503414,14.211507446420336,14.211507446420336
2023-12-13 00:00:00+01:00,13.954728035200535,14.033679743195506,13.826431274414062,13.826431274414062,251204,0.0,0.0,1,-0.0077903647822296085,1.0302550607010745,13.966570568084716,13.735307598114014,1.0302550607010745,0,-0.0,1.0505515585984044,37.31344575185395,0,-0.0,0.9149716409275387,14.398831523808646,13.6389201711115,False,False,0.9149716409275387,0,-0.0,1.0221686268010037,14.001112031936646,14.348808103474596,13.653415960398696,0.27279772542212244,13.93498992919922,13.525793341066036,14.753383105465588,14.344186517332405,13.116596752932853,14.165700464395629,14.165700464395629
